description,topic
"Підбір резистора для світлодіода на 5В, розрахунок струму та падіння напруги","радіоелектроніка"
"Проектування підсилювача низької частоти на транзисторах класу А","радіоелектроніка"
"Налагодження ШІМ-сигналу для керування яскравістю світлодіодної стрічки за допомогою ESP32","радіоелектроніка"
"Розрахунок RC-фільтра для згладжування пульсацій після випрямляча","радіоелектроніка"
"Вимірювання ємності конденсатора за допомогою мультиметра та осцилографа","радіоелектроніка"
"Розробка схеми джерела живлення з трансформатором, діодним мостом та стабілізатором","радіоелектроніка"
"Пайка мікросхеми ATmega328 на друковану плату в корпусі TQFP","радіоелектроніка"
"Проектування антени для частоти 2.4 ГГц з коефіцієнтом підсилення 5 dBi","радіоелектроніка"
"Розрахунок індуктивності дроселя для фільтра живлення імпульсного блока","радіоелектроніка"
"Тестування п'єзоелектричного випромінювача на резонансній частоті","радіоелектроніка"
"Пайка компонентів на плату з подальшим програмуванням мікроконтролера","радіоелектроніка"
"Оптимізація алгоритму ШІМ для керування сервоприводом на Arduino","радіоелектроніка"
"Створення дешборду в Python для візуалізації показань датчиків","програмування"
"Написання драйвера для керування кроковим двигуном через GPIO","програмування"
"Розробка CAD-моделі шестерні в SolidWorks з експортом у G-код","машинобудування"
"Розрахунок навантаження на підшипник з використанням MathCAD скриптів","машинобудування"
"Робота з антенами: розрахунок довжини хвилі та узгодження опору","радіоелектроніка"
"Інтеграція датчика вологості з мікроконтролером через I2C шину","радіоелектроніка"
"Написання нейромережі для розпізнавання дефектів на зварному шві","програмування"
"Автоматизація розрахунку зубчастих передач за допомогою Python скриптів","програмування"
"Вплив термообробки на мікроструктуру сталі після фрезерування","машинобудування"
"Вимірювання твердості металу після гартування неруйнівним методом","машинобудування"
"Написання алгоритму сортування масиву методом бульбашки на Python","програмування"
"Створення класу для роботи з матрицями з перевантаженням операторів у C++","програмування"
"Оптимізація SQL-запиту для вибірки даних з трьох таблиць за допомогою JOIN","програмування"
"Налаштування CI/CD пайплайну з використанням GitLab та Docker","програмування"
"Розгортання REST API на FastAPI з підключенням до PostgreSQL","програмування"
"Тренування нейронної мережі для класифікації зображень за допомогою PyTorch","програмування"
"Робота з гілками в Git: створення, злиття та вирішення конфліктів","програмування"
"Написання юніт-тестів для функції авторизації з використанням pytest","програмування"
"Реалізація патерну спостерігач на JavaScript для реактивного інтерфейсу","програмування"
"Створення мікросервісу на Go для обробки черги повідомлень RabbitMQ","програмування"
"Розрахунок зубчастої передачі з модулем 2 мм та передавальним числом 1:4","машинобудування"
"Вибір підшипника кочення для вала з частотою обертання 3000 об/хв","машинобудування"
"Проектування креслення деталі з допусками та посадками за системою ISO","машинобудування"
"Розрахунок на міцність сталевого вала при крученні та згині","машинобудування"
"Технологія токарної обробки сталевої заготовки на верстаті з ЧПК","машинобудування"
"Термообробка шестерні: гартування до твердості 55 HRC та відпал","машинобудування"
"Розробка техпроцесу зварювання корпусу з низьколегованої сталі","машинобудування"
"Підбір електродвигуна для стрічкового транспортера потужністю 5 кВт","машинобудування"
"Контроль шорсткості поверхні після фрезерної обробки Ra 1.6 мкм","машинобудування"
"Розрахунок з'єднання з натягом для посадки колеса на вал діаметром 50 мм","машинобудування"
"resistor capacitor transistor diode circuit board microchip amplifier oscillator","радіоелектроніка"
"radio antenna transmitter receiver modulation frequency signal filter breadboard","радіоелектроніка"
"microcontroller arduino esp32 pwm adc dac voltage current ohm watt","радіоелектроніка"
"soldering flux pcb schematic electronics component wire insulation ground phase","радіоелектроніка"
"oscilloscope multimeter inductance capacitance impedance rectifier semiconductor","радіоелектроніка"
"Selecting a current limiting resistor for an LED with proper power dissipation calculation","радіоелектроніка"
"Designing a class A common emitter amplifier with voltage divider biasing","радіоелектроніка"
"Measuring PWM duty cycle and frequency using an oscilloscope's auto measurement features","радіоелектроніка"
"Calculating cutoff frequency for a low-pass RC filter to remove high-frequency noise","радіоелектроніка"
"Testing transistor switching characteristics in saturation and cutoff regions","радіоелектроніка"
"Building a full-wave bridge rectifier with smoothing capacitor and 7805 voltage regulator","радіоелектроніка"
"Using a soldering station with temperature control for surface mount component assembly","радіоелектроніка"
"Matching antenna impedance to 50 ohms using a pi-network matching circuit","радіоелектроніка"
"Calculating LC filter resonance frequency and quality factor Q for power supplies","радіоелектроніка"
"Measuring signal-to-noise ratio and total harmonic distortion of an audio amplifier","радіоелектроніка"
"Designing a differential amplifier with BJT transistors for high common-mode rejection","радіоелектроніка"
"Tuning a voltage-controlled oscillator VCO for stable frequency generation across temperature","радіоелектроніка"
"Implementing hysteresis in a comparator circuit to prevent output oscillation","радіоелектроніка"
"Calculating trace impedance for high-speed PCB designs using microstrip formulas","радіоелектроніка"
"Using a spectrum analyzer to measure harmonic distortion from a class B amplifier","радіоелектроніка"
"Implementing quicksort algorithm with O(n log n) time complexity in Python","програмування"
"Designing a singleton pattern with thread-safe lazy initialization in Java","програмування"
"Writing recursive CTE queries in PostgreSQL for hierarchical data traversal","програмування"
"Containerizing a Node.js application with multi-stage Docker builds for production","програмування"
"Implementing OAuth2 authentication with JWT tokens in a Django REST framework","програмування"
"Using TensorFlow Keras API to build a convolutional neural network for image recognition","програмування"
"Rebasing feature branch onto main and resolving merge conflicts interactively","програмування"
"Mocking external API calls using Jest for testing React components","програмування"
"Implementing a producer-consumer pattern using RabbitMQ message queues","програмування"
"Building a gRPC service with protocol buffers for inter-service communication","програмування"
"Optimizing database queries by adding composite indexes and analyzing execution plans","програмування"
"Implementing Redux state management with asynchronous thunk middleware in React","програмування"
"Setting up Kubernetes deployments with horizontal pod autoscaling based on CPU metrics","програмування"
"Writing WebSocket server for real-time bidirectional communication between clients","програмування"
"Implementing LRU cache data structure using doubly linked list and hash map","програмування"
"Calculating gear ratio and center distance for a helical gear transmission system","машинобудування"
