source,date,title,summary,text,filtered,normalized,tokens_word,tokens_sentence,tokens_tweet,tokens_clean,lemmas,stems_porter,stems_snowball
BBC,2026-04-28,PM won't face inquiry over claims he misled MPs on Mandelson vetting,A Conservative-led motion sought to have the prime minister's remarks assessed by Privileges Committee.,PM won't face inquiry over claims he misled MPs on Mandelson vetting A Conservative-led motion sought to have the prime minister's remarks assessed by Privileges Committee.,PM won't face inquiry over claims he misled MPs on Mandelson vetting A Conservative-led motion sought to have the prime minister's remarks assessed by Privileges Committee,pm won't face inquiry over claims he misled mps on mandelson vetting a conservative-led motion sought to have the prime minister's remarks assessed by privileges committee,"['pm', 'wo', ""n't"", 'face', 'inquiry', 'over', 'claims', 'he', 'misled', 'mps', 'on', 'mandelson', 'vetting', 'a', 'conservative-led', 'motion', 'sought', 'to', 'have', 'the', 'prime', 'minister', ""'s"", 'remarks', 'assessed', 'by', 'privileges', 'committee']","[""PM won't face inquiry over claims he misled MPs on Mandelson vetting A Conservative-led motion sought to have the prime minister's remarks assessed by Privileges Committee""]","['pm', ""won't"", 'face', 'inquiry', 'over', 'claims', 'he', 'misled', 'mps', 'on', 'mandelson', 'vetting', 'a', 'conservative-led', 'motion', 'sought', 'to', 'have', 'the', 'prime', ""minister's"", 'remarks', 'assessed', 'by', 'privileges', 'committee']","['face', 'inquiry', 'claims', 'misled', 'mps', 'mandelson', 'vetting', 'motion', 'sought', 'prime', 'minister', 'remarks', 'assessed', 'privileges', 'committee']","['face', 'inquiry', 'claim', 'misled', 'mp', 'mandelson', 'vetting', 'motion', 'sought', 'prime', 'minister', 'remark', 'assessed', 'privilege', 'committee']","['face', 'inquiri', 'claim', 'misl', 'mp', 'mandelson', 'vet', 'motion', 'sought', 'prime', 'minist', 'remark', 'assess', 'privileg', 'committe']","['face', 'inquiri', 'claim', 'misl', 'mps', 'mandelson', 'vet', 'motion', 'sought', 'prime', 'minist', 'remark', 'assess', 'privileg', 'committe']"
BBC,2026-04-28,"I made 'serious mistake' advising Starmer to appoint Mandelson, PM's ex-top adviser McSweeney says","Morgan McSweeney says the peer did not give the ""full truth"" about his relationship with Epstein.","I made 'serious mistake' advising Starmer to appoint Mandelson, PM's ex-top adviser McSweeney says Morgan McSweeney says the peer did not give the ""full truth"" about his relationship with Epstein.",I made 'serious mistake' advising Starmer to appoint Mandelson PM's ex-top adviser McSweeney says Morgan McSweeney says the peer did not give the full truth about his relationship with Epstein,i made 'serious mistake' advising starmer to appoint mandelson pm's ex-top adviser mcsweeney says morgan mcsweeney says the peer did not give the full truth about his relationship with epstein,"['i', 'made', ""'serious"", 'mistake', ""'"", 'advising', 'starmer', 'to', 'appoint', 'mandelson', 'pm', ""'s"", 'ex-top', 'adviser', 'mcsweeney', 'says', 'morgan', 'mcsweeney', 'says', 'the', 'peer', 'did', 'not', 'give', 'the', 'full', 'truth', 'about', 'his', 'relationship', 'with', 'epstein']","[""I made 'serious mistake' advising Starmer to appoint Mandelson PM's ex-top adviser McSweeney says Morgan McSweeney says the peer did not give the full truth about his relationship with Epstein""]","['i', 'made', ""'"", 'serious', 'mistake', ""'"", 'advising', 'starmer', 'to', 'appoint', 'mandelson', ""pm's"", 'ex-top', 'adviser', 'mcsweeney', 'says', 'morgan', 'mcsweeney', 'says', 'the', 'peer', 'did', 'not', 'give', 'the', 'full', 'truth', 'about', 'his', 'relationship', 'with', 'epstein']","['made', 'mistake', 'advising', 'starmer', 'appoint', 'mandelson', 'adviser', 'mcsweeney', 'says', 'morgan', 'mcsweeney', 'says', 'peer', 'give', 'full', 'truth', 'relationship', 'epstein']","['made', 'mistake', 'advising', 'starmer', 'appoint', 'mandelson', 'adviser', 'mcsweeney', 'say', 'morgan', 'mcsweeney', 'say', 'peer', 'give', 'full', 'truth', 'relationship', 'epstein']","['made', 'mistak', 'advis', 'starmer', 'appoint', 'mandelson', 'advis', 'mcsweeney', 'say', 'morgan', 'mcsweeney', 'say', 'peer', 'give', 'full', 'truth', 'relationship', 'epstein']","['made', 'mistak', 'advis', 'starmer', 'appoint', 'mandelson', 'advis', 'mcsweeney', 'say', 'morgan', 'mcsweeney', 'say', 'peer', 'give', 'full', 'truth', 'relationship', 'epstein']"
BBC,2026-04-28,United Arab Emirates to quit oil cartel Opec,"The UAE's decision, after nearly 60 years of membership, is seen as a potential death knell for the oil cartel.","United Arab Emirates to quit oil cartel Opec The UAE's decision, after nearly 60 years of membership, is seen as a potential death knell for the oil cartel.",United Arab Emirates to quit oil cartel Opec The UAE's decision after nearly years of membership is seen as a potential death knell for the oil cartel,united arab emirates to quit oil cartel opec the uae's decision after nearly years of membership is seen as a potential death knell for the oil cartel,"['united', 'arab', 'emirates', 'to', 'quit', 'oil', 'cartel', 'opec', 'the', 'uae', ""'s"", 'decision', 'after', 'nearly', 'years', 'of', 'membership', 'is', 'seen', 'as', 'a', 'potential', 'death', 'knell', 'for', 'the', 'oil', 'cartel']","[""United Arab Emirates to quit oil cartel Opec The UAE's decision after nearly years of membership is seen as a potential death knell for the oil cartel""]","['united', 'arab', 'emirates', 'to', 'quit', 'oil', 'cartel', 'opec', 'the', ""uae's"", 'decision', 'after', 'nearly', 'years', 'of', 'membership', 'is', 'seen', 'as', 'a', 'potential', 'death', 'knell', 'for', 'the', 'oil', 'cartel']","['united', 'arab', 'emirates', 'quit', 'oil', 'cartel', 'opec', 'uae', 'decision', 'nearly', 'years', 'membership', 'seen', 'potential', 'death', 'knell', 'oil', 'cartel']","['united', 'arab', 'emirate', 'quit', 'oil', 'cartel', 'opec', 'uae', 'decision', 'nearly', 'year', 'membership', 'seen', 'potential', 'death', 'knell', 'oil', 'cartel']","['unit', 'arab', 'emir', 'quit', 'oil', 'cartel', 'opec', 'uae', 'decis', 'nearli', 'year', 'membership', 'seen', 'potenti', 'death', 'knell', 'oil', 'cartel']","['unit', 'arab', 'emir', 'quit', 'oil', 'cartel', 'opec', 'uae', 'decis', 'near', 'year', 'membership', 'seen', 'potenti', 'death', 'knell', 'oil', 'cartel']"
BBC,2026-04-28,More UK deaths than births expected every year from now on,The UK population is expected to grow at a slower rate than previously thought owing to a sharp fall in migration and declining fertility rates,More UK deaths than births expected every year from now on The UK population is expected to grow at a slower rate than previously thought owing to a sharp fall in migration and declining fertility rates,More UK deaths than births expected every year from now on The UK population is expected to grow at a slower rate than previously thought owing to a sharp fall in migration and declining fertility rates,more uk deaths than births expected every year from now on the uk population is expected to grow at a slower rate than previously thought owing to a sharp fall in migration and declining fertility rates,"['more', 'uk', 'deaths', 'than', 'births', 'expected', 'every', 'year', 'from', 'now', 'on', 'the', 'uk', 'population', 'is', 'expected', 'to', 'grow', 'at', 'a', 'slower', 'rate', 'than', 'previously', 'thought', 'owing', 'to', 'a', 'sharp', 'fall', 'in', 'migration', 'and', 'declining', 'fertility', 'rates']",['More UK deaths than births expected every year from now on The UK population is expected to grow at a slower rate than previously thought owing to a sharp fall in migration and declining fertility rates'],"['more', 'uk', 'deaths', 'than', 'births', 'expected', 'every', 'year', 'from', 'now', 'on', 'the', 'uk', 'population', 'is', 'expected', 'to', 'grow', 'at', 'a', 'slower', 'rate', 'than', 'previously', 'thought', 'owing', 'to', 'a', 'sharp', 'fall', 'in', 'migration', 'and', 'declining', 'fertility', 'rates']","['deaths', 'births', 'expected', 'every', 'year', 'population', 'expected', 'grow', 'slower', 'rate', 'previously', 'thought', 'owing', 'sharp', 'fall', 'migration', 'declining', 'fertility', 'rates']","['death', 'birth', 'expected', 'every', 'year', 'population', 'expected', 'grow', 'slower', 'rate', 'previously', 'thought', 'owing', 'sharp', 'fall', 'migration', 'declining', 'fertility', 'rate']","['death', 'birth', 'expect', 'everi', 'year', 'popul', 'expect', 'grow', 'slower', 'rate', 'previous', 'thought', 'owe', 'sharp', 'fall', 'migrat', 'declin', 'fertil', 'rate']","['death', 'birth', 'expect', 'everi', 'year', 'popul', 'expect', 'grow', 'slower', 'rate', 'previous', 'thought', 'owe', 'sharp', 'fall', 'migrat', 'declin', 'fertil', 'rate']"
BBC,2026-04-28,"America's special relationship 'probably Israel', says UK ambassador to US","The remarks, made in February and first reported by the Financial Times, came to light during the King's state visit.","America's special relationship 'probably Israel', says UK ambassador to US The remarks, made in February and first reported by the Financial Times, came to light during the King's state visit.",America's special relationship 'probably Israel' says UK ambassador to US The remarks made in February and first reported by the Financial Times came to light during the King's state visit,america's special relationship 'probably israel' says uk ambassador to us the remarks made in february and first reported by the financial times came to light during the king's state visit,"['america', ""'s"", 'special', 'relationship', ""'probably"", 'israel', ""'"", 'says', 'uk', 'ambassador', 'to', 'us', 'the', 'remarks', 'made', 'in', 'february', 'and', 'first', 'reported', 'by', 'the', 'financial', 'times', 'came', 'to', 'light', 'during', 'the', 'king', ""'s"", 'state', 'visit']","[""America's special relationship 'probably Israel' says UK ambassador to US The remarks made in February and first reported by the Financial Times came to light during the King's state visit""]","[""america's"", 'special', 'relationship', ""'"", 'probably', 'israel', ""'"", 'says', 'uk', 'ambassador', 'to', 'us', 'the', 'remarks', 'made', 'in', 'february', 'and', 'first', 'reported', 'by', 'the', 'financial', 'times', 'came', 'to', 'light', 'during', 'the', ""king's"", 'state', 'visit']","['america', 'special', 'relationship', 'israel', 'says', 'ambassador', 'remarks', 'made', 'february', 'first', 'reported', 'financial', 'times', 'came', 'light', 'king', 'state', 'visit']","['america', 'special', 'relationship', 'israel', 'say', 'ambassador', 'remark', 'made', 'february', 'first', 'reported', 'financial', 'time', 'came', 'light', 'king', 'state', 'visit']","['america', 'special', 'relationship', 'israel', 'say', 'ambassador', 'remark', 'made', 'februari', 'first', 'report', 'financi', 'time', 'came', 'light', 'king', 'state', 'visit']","['america', 'special', 'relationship', 'israel', 'say', 'ambassador', 'remark', 'made', 'februari', 'first', 'report', 'financi', 'time', 'came', 'light', 'king', 'state', 'visit']"
BBC,2026-04-28,Path cleared for Everest climbers after huge ice block,"Experts warn there are still risks of further ice collapses, and there are fears climbers will again have to queue to reach the summit.","Path cleared for Everest climbers after huge ice block Experts warn there are still risks of further ice collapses, and there are fears climbers will again have to queue to reach the summit.",Path cleared for Everest climbers after huge ice block Experts warn there are still risks of further ice collapses and there are fears climbers will again have to queue to reach the summit,path cleared for everest climbers after huge ice block experts warn there are still risks of further ice collapses and there are fears climbers will again have to queue to reach the summit,"['path', 'cleared', 'for', 'everest', 'climbers', 'after', 'huge', 'ice', 'block', 'experts', 'warn', 'there', 'are', 'still', 'risks', 'of', 'further', 'ice', 'collapses', 'and', 'there', 'are', 'fears', 'climbers', 'will', 'again', 'have', 'to', 'queue', 'to', 'reach', 'the', 'summit']",['Path cleared for Everest climbers after huge ice block Experts warn there are still risks of further ice collapses and there are fears climbers will again have to queue to reach the summit'],"['path', 'cleared', 'for', 'everest', 'climbers', 'after', 'huge', 'ice', 'block', 'experts', 'warn', 'there', 'are', 'still', 'risks', 'of', 'further', 'ice', 'collapses', 'and', 'there', 'are', 'fears', 'climbers', 'will', 'again', 'have', 'to', 'queue', 'to', 'reach', 'the', 'summit']","['path', 'cleared', 'everest', 'climbers', 'huge', 'ice', 'block', 'experts', 'warn', 'still', 'risks', 'ice', 'collapses', 'fears', 'climbers', 'queue', 'reach', 'summit']","['path', 'cleared', 'everest', 'climber', 'huge', 'ice', 'block', 'expert', 'warn', 'still', 'risk', 'ice', 'collapse', 'fear', 'climber', 'queue', 'reach', 'summit']","['path', 'clear', 'everest', 'climber', 'huge', 'ice', 'block', 'expert', 'warn', 'still', 'risk', 'ice', 'collaps', 'fear', 'climber', 'queue', 'reach', 'summit']","['path', 'clear', 'everest', 'climber', 'huge', 'ice', 'block', 'expert', 'warn', 'still', 'risk', 'ice', 'collaps', 'fear', 'climber', 'queue', 'reach', 'summit']"
BBC,2026-04-28,US regulator to review Disney broadcast licences after Jimmy Kimmel joke about Melania Trump,"The move comes as the White House pressures Disney-owned ABC to fire Kimmel after he called Melania an ""expectant widow"".","US regulator to review Disney broadcast licences after Jimmy Kimmel joke about Melania Trump The move comes as the White House pressures Disney-owned ABC to fire Kimmel after he called Melania an ""expectant widow"".",US regulator to review Disney broadcast licences after Jimmy Kimmel joke about Melania Trump The move comes as the White House pressures Disney-owned ABC to fire Kimmel after he called Melania an expectant widow,us regulator to review disney broadcast licences after jimmy kimmel joke about melania trump the move comes as the white house pressures disney-owned abc to fire kimmel after he called melania an expectant widow,"['us', 'regulator', 'to', 'review', 'disney', 'broadcast', 'licences', 'after', 'jimmy', 'kimmel', 'joke', 'about', 'melania', 'trump', 'the', 'move', 'comes', 'as', 'the', 'white', 'house', 'pressures', 'disney-owned', 'abc', 'to', 'fire', 'kimmel', 'after', 'he', 'called', 'melania', 'an', 'expectant', 'widow']",['US regulator to review Disney broadcast licences after Jimmy Kimmel joke about Melania Trump The move comes as the White House pressures Disney-owned ABC to fire Kimmel after he called Melania an expectant widow'],"['us', 'regulator', 'to', 'review', 'disney', 'broadcast', 'licences', 'after', 'jimmy', 'kimmel', 'joke', 'about', 'melania', 'trump', 'the', 'move', 'comes', 'as', 'the', 'white', 'house', 'pressures', 'disney-owned', 'abc', 'to', 'fire', 'kimmel', 'after', 'he', 'called', 'melania', 'an', 'expectant', 'widow']","['regulator', 'review', 'disney', 'broadcast', 'licences', 'jimmy', 'kimmel', 'joke', 'melania', 'trump', 'move', 'comes', 'white', 'house', 'pressures', 'abc', 'fire', 'kimmel', 'called', 'melania', 'expectant', 'widow']","['regulator', 'review', 'disney', 'broadcast', 'licence', 'jimmy', 'kimmel', 'joke', 'melania', 'trump', 'move', 'come', 'white', 'house', 'pressure', 'abc', 'fire', 'kimmel', 'called', 'melania', 'expectant', 'widow']","['regul', 'review', 'disney', 'broadcast', 'licenc', 'jimmi', 'kimmel', 'joke', 'melania', 'trump', 'move', 'come', 'white', 'hous', 'pressur', 'abc', 'fire', 'kimmel', 'call', 'melania', 'expect', 'widow']","['regul', 'review', 'disney', 'broadcast', 'licenc', 'jimmi', 'kimmel', 'joke', 'melania', 'trump', 'move', 'come', 'white', 'hous', 'pressur', 'abc', 'fire', 'kimmel', 'call', 'melania', 'expect', 'widow']"
BBC,2026-04-28,France murder victim identified after 20 years and suspect arrested,Hakima Boukerouis is the fifth woman to be identified through an international police campaign.,France murder victim identified after 20 years and suspect arrested Hakima Boukerouis is the fifth woman to be identified through an international police campaign.,France murder victim identified after years and suspect arrested Hakima Boukerouis is the fifth woman to be identified through an international police campaign,france murder victim identified after years and suspect arrested hakima boukerouis is the fifth woman to be identified through an international police campaign,"['france', 'murder', 'victim', 'identified', 'after', 'years', 'and', 'suspect', 'arrested', 'hakima', 'boukerouis', 'is', 'the', 'fifth', 'woman', 'to', 'be', 'identified', 'through', 'an', 'international', 'police', 'campaign']",['France murder victim identified after years and suspect arrested Hakima Boukerouis is the fifth woman to be identified through an international police campaign'],"['france', 'murder', 'victim', 'identified', 'after', 'years', 'and', 'suspect', 'arrested', 'hakima', 'boukerouis', 'is', 'the', 'fifth', 'woman', 'to', 'be', 'identified', 'through', 'an', 'international', 'police', 'campaign']","['france', 'murder', 'victim', 'identified', 'years', 'suspect', 'arrested', 'hakima', 'boukerouis', 'fifth', 'woman', 'identified', 'international', 'police', 'campaign']","['france', 'murder', 'victim', 'identified', 'year', 'suspect', 'arrested', 'hakima', 'boukerouis', 'fifth', 'woman', 'identified', 'international', 'police', 'campaign']","['franc', 'murder', 'victim', 'identifi', 'year', 'suspect', 'arrest', 'hakima', 'boukeroui', 'fifth', 'woman', 'identifi', 'intern', 'polic', 'campaign']","['franc', 'murder', 'victim', 'identifi', 'year', 'suspect', 'arrest', 'hakima', 'boukeroui', 'fifth', 'woman', 'identifi', 'intern', 'polic', 'campaign']"
BBC,2026-04-28,US soldier accused of betting on Maduro's removal pleads not guilty to fraud charges,"The Army officer has been accused of using classified information to win $400,000 on an online prediction market.","US soldier accused of betting on Maduro's removal pleads not guilty to fraud charges The Army officer has been accused of using classified information to win $400,000 on an online prediction market.",US soldier accused of betting on Maduro's removal pleads not guilty to fraud charges The Army officer has been accused of using classified information to win on an online prediction market,us soldier accused of betting on maduro's removal pleads not guilty to fraud charges the army officer has been accused of using classified information to win on an online prediction market,"['us', 'soldier', 'accused', 'of', 'betting', 'on', 'maduro', ""'s"", 'removal', 'pleads', 'not', 'guilty', 'to', 'fraud', 'charges', 'the', 'army', 'officer', 'has', 'been', 'accused', 'of', 'using', 'classified', 'information', 'to', 'win', 'on', 'an', 'online', 'prediction', 'market']","[""US soldier accused of betting on Maduro's removal pleads not guilty to fraud charges The Army officer has been accused of using classified information to win on an online prediction market""]","['us', 'soldier', 'accused', 'of', 'betting', 'on', ""maduro's"", 'removal', 'pleads', 'not', 'guilty', 'to', 'fraud', 'charges', 'the', 'army', 'officer', 'has', 'been', 'accused', 'of', 'using', 'classified', 'information', 'to', 'win', 'on', 'an', 'online', 'prediction', 'market']","['soldier', 'accused', 'betting', 'maduro', 'removal', 'pleads', 'guilty', 'fraud', 'charges', 'army', 'officer', 'accused', 'using', 'classified', 'information', 'win', 'online', 'prediction', 'market']","['soldier', 'accused', 'betting', 'maduro', 'removal', 'pleads', 'guilty', 'fraud', 'charge', 'army', 'officer', 'accused', 'using', 'classified', 'information', 'win', 'online', 'prediction', 'market']","['soldier', 'accus', 'bet', 'maduro', 'remov', 'plead', 'guilti', 'fraud', 'charg', 'armi', 'offic', 'accus', 'use', 'classifi', 'inform', 'win', 'onlin', 'predict', 'market']","['soldier', 'accus', 'bet', 'maduro', 'remov', 'plead', 'guilti', 'fraud', 'charg', 'armi', 'offic', 'accus', 'use', 'classifi', 'inform', 'win', 'onlin', 'predict', 'market']"
BBC,2026-04-28,Road-rage driver caught on his own dashcam knocking motorist out,John Lee was caught on his own vehicle's camera attacking another driver in Conwy.,Road-rage driver caught on his own dashcam knocking motorist out John Lee was caught on his own vehicle's camera attacking another driver in Conwy.,Road-rage driver caught on his own dashcam knocking motorist out John Lee was caught on his own vehicle's camera attacking another driver in Conwy,road-rage driver caught on his own dashcam knocking motorist out john lee was caught on his own vehicle's camera attacking another driver in conwy,"['road-rage', 'driver', 'caught', 'on', 'his', 'own', 'dashcam', 'knocking', 'motorist', 'out', 'john', 'lee', 'was', 'caught', 'on', 'his', 'own', 'vehicle', ""'s"", 'camera', 'attacking', 'another', 'driver', 'in', 'conwy']","[""Road-rage driver caught on his own dashcam knocking motorist out John Lee was caught on his own vehicle's camera attacking another driver in Conwy""]","['road-rage', 'driver', 'caught', 'on', 'his', 'own', 'dashcam', 'knocking', 'motorist', 'out', 'john', 'lee', 'was', 'caught', 'on', 'his', 'own', ""vehicle's"", 'camera', 'attacking', 'another', 'driver', 'in', 'conwy']","['driver', 'caught', 'dashcam', 'knocking', 'motorist', 'john', 'lee', 'caught', 'vehicle', 'camera', 'attacking', 'another', 'driver', 'conwy']","['driver', 'caught', 'dashcam', 'knocking', 'motorist', 'john', 'lee', 'caught', 'vehicle', 'camera', 'attacking', 'another', 'driver', 'conwy']","['driver', 'caught', 'dashcam', 'knock', 'motorist', 'john', 'lee', 'caught', 'vehicl', 'camera', 'attack', 'anoth', 'driver', 'conwi']","['driver', 'caught', 'dashcam', 'knock', 'motorist', 'john', 'lee', 'caught', 'vehicl', 'camera', 'attack', 'anoth', 'driver', 'conwi']"
